               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
103,0.024875,0.022982,0.0015263,0.93307,0.77218,0.85656,0.54248,0.02942,0.029536,0.0038739,0.006634,0.006634,0.006634
104,0.023672,0.023169,0.0015515,0.82049,0.82709,0.85529,0.5394,0.030585,0.030235,0.0052298,0.006601,0.006601,0.006601
105,0.023758,0.022572,0.0015286,0.83578,0.80215,0.85137,0.55928,0.02964,0.029852,0.0051428,0.006568,0.006568,0.006568
106,0.024332,0.023381,0.0013466,0.94347,0.7713,0.86023,0.53378,0.030218,0.029328,0.0049538,0.006535,0.006535,0.006535
107,0.024347,0.023471,0.0014714,0.91615,0.79218,0.86483,0.54617,0.029286,0.029824,0.0043196,0.006502,0.006502,0.006502
108,0.023385,0.022083,0.0015913,0.86762,0.79173,0.82119,0.50327,0.030463,0.030954,0.0048151,0.006469,0.006469,0.006469
109,0.023584,0.023891,0.0014514,0.92043,0.82091,0.85735,0.51962,0.030302,0.030742,0.0041213,0.006436,0.006436,0.006436
110,0.023389,0.023404,0.0013541,0.91498,0.80594,0.86744,0.56463,0.029406,0.029726,0.0035569,0.006403,0.006403,0.006403
111,0.023517,0.022724,0.00153,0.83048,0.84751,0.84605,0.54291,0.03004,0.029682,0.0045385,0.00637,0.00637,0.00637
112,0.023777,0.022849,0.0013287,0.8313,0.78886,0.81644,0.49691,0.030772,0.030473,0.0045127,0.006337,0.006337,0.006337
113,0.023939,0.023363,0.0013958,0.81091,0.72637,0.76265,0.48147,0.029765,0.029477,0.005259,0.006304,0.006304,0.006304
114,0.023223,0.022279,0.001237,0.94465,0.7391,0.80519,0.48541,0.031166,0.030162,0.0044371,0.006271,0.006271,0.006271
115,0.023044,0.021232,0.0014861,0.86733,0.74975,0.80234,0.49783,0.029892,0.030556,0.0052982,0.006238,0.006238,0.006238
116,0.022389,0.021997,0.0014067,0.73791,0.80269,0.77011,0.48223,0.029711,0.030064,0.0051384,0.006205,0.006205,0.006205
117,0.02325,0.021989,0.0014976,0.86831,0.77094,0.82222,0.50294,0.029774,0.029932,0.004254,0.006172,0.006172,0.006172
118,0.023043,0.022995,0.0014854,0.71057,0.79618,0.76569,0.48873,0.029882,0.030321,0.0059213,0.006139,0.006139,0.006139
119,0.023193,0.022937,0.0013656,0.90387,0.85184,0.87776,0.57152,0.028576,0.029013,0.0039357,0.006106,0.006106,0.006106
120,0.022751,0.02034,0.001557,0.80708,0.83664,0.84458,0.54664,0.029148,0.030119,0.0043029,0.006073,0.006073,0.006073
121,0.022602,0.022916,0.0013931,0.94899,0.68157,0.76192,0.48854,0.029336,0.031326,0.0053591,0.00604,0.00604,0.00604
122,0.023214,0.02301,0.0012755,0.88146,0.73471,0.79311,0.50339,0.02925,0.029042,0.005253,0.006007,0.006007,0.006007
123,0.022237,0.021145,0.0010642,0.86579,0.75611,0.80146,0.50554,0.029069,0.029529,0.0058733,0.005974,0.005974,0.005974
124,0.022343,0.021779,0.0013613,0.91473,0.67456,0.80286,0.50344,0.029851,0.029796,0.0053576,0.005941,0.005941,0.005941
125,0.022511,0.02108,0.0013146,0.82854,0.78275,0.80989,0.51348,0.02833,0.030097,0.0051764,0.005908,0.005908,0.005908
126,0.022382,0.022247,0.0015322,0.87677,0.74345,0.8285,0.51937,0.029841,0.029593,0.0054614,0.005875,0.005875,0.005875
127,0.022593,0.021492,0.0013288,0.94058,0.78081,0.82345,0.51855,0.028193,0.028877,0.0048672,0.005842,0.005842,0.005842
128,0.021897,0.022063,0.0010851,0.84517,0.82327,0.83826,0.51589,0.029039,0.029762,0.0044902,0.005809,0.005809,0.005809
129,0.022058,0.021122,0.0012765,0.8974,0.74427,0.79374,0.50476,0.029456,0.030563,0.0042326,0.005776,0.005776,0.005776
130,0.021634,0.021843,0.0011073,0.87398,0.78189,0.82698,0.52039,0.029105,0.029983,0.0051975,0.005743,0.005743,0.005743
131,0.021678,0.020582,0.0012161,0.93884,0.71685,0.80124,0.52544,0.029265,0.030016,0.005903,0.00571,0.00571,0.00571
132,0.021301,0.020931,0.0012301,0.87586,0.73155,0.7846,0.51764,0.028928,0.030242,0.0063662,0.005677,0.005677,0.005677
133,0.02311,0.021384,0.0012398,0.92279,0.70615,0.81748,0.53576,0.029982,0.030239,0.0056664,0.005644,0.005644,0.005644
134,0.021836,0.022437,0.0011423,0.93399,0.71249,0.81614,0.53382,0.028567,0.030664,0.0052748,0.005611,0.005611,0.005611
135,0.02167,0.021226,0.0011618,0.88513,0.8183,0.84059,0.51488,0.029711,0.031407,0.0050541,0.005578,0.005578,0.005578
136,0.021861,0.022698,0.0010904,0.90572,0.70352,0.79099,0.50654,0.029032,0.030434,0.0060079,0.005545,0.005545,0.005545
137,0.020802,0.02035,0.0010372,0.91847,0.76604,0.85559,0.57126,0.028553,0.030224,0.0040864,0.005512,0.005512,0.005512
138,0.021531,0.021472,0.0010994,0.89631,0.82319,0.85779,0.5335,0.029468,0.030783,0.0044892,0.005479,0.005479,0.005479
139,0.021444,0.020602,0.0010696,0.9367,0.7594,0.83299,0.51569,0.029563,0.030546,0.0047649,0.005446,0.005446,0.005446
140,0.022011,0.022014,0.0014305,0.94481,0.75306,0.84284,0.53492,0.029847,0.031292,0.0040021,0.005413,0.005413,0.005413
141,0.020877,0.020215,0.0010519,0.91191,0.78644,0.83894,0.53898,0.029505,0.03081,0.0038671,0.00538,0.00538,0.00538
142,0.020825,0.020656,0.0011924,0.87284,0.82078,0.85419,0.54929,0.029088,0.03062,0.0038438,0.005347,0.005347,0.005347
143,0.021243,0.02219,0.0010891,0.93638,0.79068,0.85278,0.54982,0.029783,0.031395,0.0048194,0.005314,0.005314,0.005314
144,0.020292,0.019354,0.0011344,0.97128,0.72241,0.85503,0.56249,0.029016,0.032727,0.0049628,0.005281,0.005281,0.005281
145,0.021167,0.020761,0.00093045,0.90732,0.81782,0.86492,0.53911,0.030164,0.031406,0.0040926,0.005248,0.005248,0.005248
146,0.021455,0.020558,0.0011726,0.95673,0.7842,0.86025,0.53167,0.029343,0.03132,0.0041286,0.005215,0.005215,0.005215
147,0.020637,0.019317,0.0010437,0.82409,0.86261,0.8551,0.54328,0.029716,0.031585,0.0043461,0.005182,0.005182,0.005182
148,0.021083,0.021365,0.0011859,0.95139,0.77341,0.84833,0.55089,0.029754,0.031879,0.0045674,0.005149,0.005149,0.005149
149,0.021562,0.021061,0.0011025,0.89825,0.75462,0.85585,0.56049,0.0291,0.032728,0.0041936,0.005116,0.005116,0.005116
150,0.021064,0.02085,0.0010844,0.93831,0.80133,0.87792,0.5696,0.029133,0.032655,0.0047355,0.005083,0.005083,0.005083
151,0.021228,0.021985,0.00092984,0.93652,0.79491,0.87221,0.57365,0.028869,0.032634,0.0047122,0.00505,0.00505,0.00505
152,0.020668,0.01937,0.00087257,0.95371,0.77853,0.8682,0.55703,0.030349,0.032565,0.0049352,0.005017,0.005017,0.005017
153,0.020587,0.020383,0.0011432,0.94903,0.78231,0.8506,0.55069,0.029022,0.031562,0.0051778,0.004984,0.004984,0.004984
154,0.020336,0.020385,0.0012484,0.94637,0.75057,0.84307,0.54905,0.028399,0.031244,0.0048528,0.004951,0.004951,0.004951
155,0.020417,0.021751,0.00105,0.94252,0.75939,0.845,0.54676,0.028674,0.031554,0.0058412,0.004918,0.004918,0.004918
156,0.020372,0.019941,0.0011015,0.92225,0.79414,0.8756,0.57299,0.028952,0.031255,0.0053408,0.004885,0.004885,0.004885
157,0.019653,0.01865,0.00094471,0.90385,0.81727,0.87395,0.57102,0.029357,0.032139,0.0060265,0.004852,0.004852,0.004852
158,0.019582,0.020161,0.0010059,0.92515,0.77709,0.86707,0.55288,0.029018,0.031015,0.0060305,0.004819,0.004819,0.004819
159,0.01989,0.020813,0.0010307,0.89539,0.8346,0.86924,0.56427,0.028992,0.03155,0.0054794,0.004786,0.004786,0.004786
160,0.019535,0.02041,0.00099971,0.88998,0.82153,0.86765,0.55861,0.029008,0.031075,0.0053744,0.004753,0.004753,0.004753
161,0.019643,0.019511,0.0010797,0.92413,0.80743,0.88036,0.57307,0.028527,0.031391,0.0045474,0.00472,0.00472,0.00472
162,0.019631,0.019636,0.00095986,0.84772,0.85703,0.87685,0.5564,0.029199,0.031967,0.0045156,0.004687,0.004687,0.004687
163,0.01998,0.019518,0.0011729,0.90025,0.8308,0.88577,0.55671,0.0288,0.031163,0.0039623,0.004654,0.004654,0.004654
164,0.019223,0.020157,0.0009826,0.93531,0.78051,0.87167,0.55617,0.029113,0.031374,0.0045907,0.004621,0.004621,0.004621
165,0.020217,0.020319,0.0011388,0.88299,0.85784,0.87734,0.57259,0.029125,0.030999,0.0046414,0.004588,0.004588,0.004588
166,0.019125,0.020266,0.00084579,0.90823,0.78903,0.86815,0.57001,0.029089,0.03119,0.0052399,0.004555,0.004555,0.004555
167,0.019478,0.020198,0.0011472,0.93652,0.801,0.88298,0.55689,0.029415,0.031379,0.0044515,0.004522,0.004522,0.004522
168,0.019185,0.018694,0.00084483,0.86321,0.83709,0.85345,0.55354,0.028809,0.030855,0.0040984,0.004489,0.004489,0.004489
169,0.019793,0.019862,0.00090447,0.91785,0.83284,0.86003,0.55155,0.029242,0.030466,0.0036532,0.004456,0.004456,0.004456
170,0.019388,0.019268,0.00083931,0.91518,0.79865,0.84363,0.54969,0.028851,0.030709,0.0039458,0.004423,0.004423,0.004423
171,0.018704,0.019267,0.00095476,0.94335,0.81502,0.86601,0.55871,0.028736,0.031456,0.0040636,0.00439,0.00439,0.00439
172,0.018979,0.019426,0.00095274,0.94016,0.79201,0.83588,0.53096,0.028993,0.031963,0.0043381,0.004357,0.004357,0.004357
173,0.019398,0.018844,0.0009695,0.92375,0.82158,0.85563,0.55707,0.028572,0.031064,0.0042706,0.004324,0.004324,0.004324
174,0.019891,0.02069,0.0010243,0.8957,0.83071,0.84879,0.54466,0.029027,0.031334,0.0038461,0.004291,0.004291,0.004291
175,0.018809,0.018708,0.00090758,0.92834,0.78405,0.84983,0.5278,0.028785,0.031381,0.0041561,0.004258,0.004258,0.004258
176,0.018245,0.019259,0.00092625,0.87244,0.85405,0.8723,0.55001,0.029026,0.031437,0.0043999,0.004225,0.004225,0.004225
177,0.01913,0.019958,0.00086186,0.87616,0.80775,0.84715,0.53599,0.028924,0.031683,0.0058574,0.004192,0.004192,0.004192
178,0.019441,0.019806,0.00094279,0.94545,0.77076,0.845,0.51811,0.029411,0.031828,0.0049804,0.004159,0.004159,0.004159
179,0.018771,0.019635,0.00096519,0.92989,0.85164,0.88538,0.55098,0.029168,0.03151,0.0043148,0.004126,0.004126,0.004126
180,0.018156,0.01885,0.00073849,0.92136,0.74585,0.84622,0.56394,0.028456,0.031895,0.0045851,0.004093,0.004093,0.004093
181,0.018598,0.02048,0.00085953,0.9228,0.83265,0.85479,0.56916,0.028486,0.031592,0.0045954,0.00406,0.00406,0.00406
182,0.019183,0.019837,0.00078267,0.90145,0.79403,0.85509,0.55826,0.028417,0.03212,0.0058326,0.004027,0.004027,0.004027
183,0.018305,0.018459,0.00086168,0.88453,0.79597,0.85219,0.56639,0.028366,0.032192,0.004969,0.003994,0.003994,0.003994
184,0.018338,0.019035,0.00091099,0.91922,0.83301,0.85653,0.56277,0.028582,0.031818,0.0045086,0.003961,0.003961,0.003961
185,0.017796,0.017973,0.0008247,0.95514,0.78012,0.85113,0.55029,0.028339,0.03276,0.0038781,0.003928,0.003928,0.003928
186,0.018596,0.017274,0.0011455,0.87316,0.82654,0.84443,0.55037,0.028682,0.031961,0.0042876,0.003895,0.003895,0.003895
187,0.018908,0.019296,0.00096891,0.94395,0.74895,0.80074,0.51721,0.028521,0.031361,0.0045309,0.003862,0.003862,0.003862
188,0.018446,0.017966,0.0010347,0.88311,0.80486,0.84898,0.55027,0.028737,0.031043,0.0043961,0.003829,0.003829,0.003829
189,0.017761,0.019277,0.00087425,0.88434,0.76422,0.82034,0.52253,0.028868,0.031244,0.0047588,0.003796,0.003796,0.003796
190,0.018036,0.018374,0.00095221,0.95362,0.77953,0.8395,0.54943,0.0289,0.031527,0.0041762,0.003763,0.003763,0.003763
191,0.018258,0.018714,0.0010015,0.95759,0.77566,0.85295,0.54757,0.028293,0.032012,0.0042851,0.00373,0.00373,0.00373
192,0.01809,0.020202,0.00093636,0.84248,0.82639,0.85514,0.54963,0.028085,0.031423,0.0041988,0.003697,0.003697,0.003697
193,0.017389,0.019069,0.00077183,0.91513,0.80525,0.86014,0.54371,0.028593,0.032106,0.0040178,0.003664,0.003664,0.003664
194,0.01796,0.018811,0.00093043,0.9023,0.79752,0.85093,0.54377,0.028467,0.031621,0.0045337,0.003631,0.003631,0.003631
195,0.01766,0.018976,0.00075003,0.96814,0.7673,0.85578,0.55071,0.028764,0.032443,0.0043425,0.003598,0.003598,0.003598
